pitch_type,game_date,release_speed,release_pos_x,player_name,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,estimated_ba_using_speedangle,estimated_woba_using_speedangle,launch_speed_angle
SL,9/13/2022,86.2,-2.24,"Riley, Austin",fly_ball,387,102.6,32,86.4,2413,0.609,1.208,6
SI,9/13/2022,94.4,-2.11,"Swanson, Dansby",ground_ball,43,87.9,0,93.3,2085,0.24,0.216,2
SL,9/13/2022,87,-2.3,"Acuña Jr., Ronald",ground_ball,1,57.6,-60,86.4,2551,0.24,0.216,1
FF,9/13/2022,98.1,-1.79,"Olson, Matt",fly_ball,255,93.5,54,99.9,2327,0.006,0.005,3
SL,9/13/2022,85.6,-2.33,"Grossman, Robbie",fly_ball,198,81.5,56,85.3,2413,0.037,0.039,3
FF,9/13/2022,95,-2.13,"Rosario, Eddie",fly_ball,377,101.1,34,93.9,1997,0.429,0.848,6
FF,9/13/2022,97.2,-1.56,"Riley, Austin",ground_ball,5,110,-21,98.9,2120,0.186,0.167,2
FF,9/13/2022,95.1,-1.71,"Swanson, Dansby",ground_ball,10,98.3,-12,96.9,2182,0.214,0.199,2
FF,9/13/2022,95,-2.24,"Harris II, Michael",ground_ball,22,110.8,-6,94.3,2090,0.42,0.388,2
FF,9/13/2022,95.7,-1.53,"Acuña Jr., Ronald",line_drive,308,104.7,16,97.2,2085,0.571,0.654,5
CU,9/13/2022,79,-2.21,"d'Arnaud, Travis",line_drive,351,105.8,17,77.8,2697,0.551,0.639,5
FS,9/12/2022,88.9,-1.84,"Grissom, Vaughn",ground_ball,13,60.4,-10,88.6,1437,0.091,0.094,2
FS,9/12/2022,89.7,-1.86,"Harris II, Michael",ground_ball,50,109.3,0,88.9,1483,0.503,0.463,4
FS,9/12/2022,88.2,-1.91,"d'Arnaud, Travis",fly_ball,241,88.4,50,87.5,1355,0.014,0.017,3
FS,9/12/2022,88.8,-1.99,"Olson, Matt",ground_ball,74,103.7,1,88.7,1374,0.466,0.42,4
SL,9/12/2022,89,-2.26,"Riley, Austin",ground_ball,4,71.6,-20,89.5,2169,0.046,0.041,2
SL,9/12/2022,89.6,-2.27,"Swanson, Dansby",line_drive,208,105.7,12,90.6,2204,0.874,0.898,4
SI,9/12/2022,91.9,1.76,"Contreras, William",ground_ball,10,77.3,-7,92.5,2151,0.089,0.08,2
SL,9/12/2022,89.8,-2.26,"Acuña Jr., Ronald",ground_ball,120,92,8,90.4,2063,0.571,0.538,4
SI,9/12/2022,92.4,1.81,"Grissom, Vaughn",ground_ball,4,66.5,-28,92.5,2216,0.04,0.036,2
SI,9/12/2022,91.5,1.93,"Harris II, Michael",ground_ball,8,63.9,-19,91.9,2232,0.04,0.036,2
CH,9/12/2022,85.3,1.71,"d'Arnaud, Travis",ground_ball,103,76.5,8,86,1475,0.334,0.323,2
SI,9/12/2022,92.1,1.75,"Olson, Matt",fly_ball,232,84.2,52,92.3,2021,0.023,0.028,3
FF,9/12/2022,93.1,-2.07,"Rosario, Eddie",line_drive,290,107.3,18,93.6,1881,0.62,0.781,6
SL,9/11/2022,88.6,-0.78,"Harris II, Michael",fly_ball,433,109.5,27,88.3,2264,0.991,2.047,6
SL,9/11/2022,84.4,-3.7,"Swanson, Dansby",ground_ball,7,73.7,-17,84.7,2489,0.057,0.055,2
SL,9/11/2022,88.4,-0.92,"Contreras, William",ground_ball,2,62.7,-45,88.3,2316,0.174,0.159,2
FF,9/11/2022,94.7,-0.66,"Grossman, Robbie",fly_ball,350,97.1,26,95.3,2340,0.331,0.483,5
SL,9/11/2022,83.9,-3.67,"Grossman, Robbie",fly_ball,387,102.7,30,83.8,2526,0.697,1.399,6
SL,9/11/2022,89.6,-2.47,"Swanson, Dansby",ground_ball,4,64,-28,89.9,2239,0.043,0.039,2
FF,9/11/2022,93.4,-3.65,"Rosario, Eddie",line_drive,167,94.2,11,93.5,2549,0.783,0.733,4
FF,9/11/2022,100.1,-2.53,"Acuña Jr., Ronald",fly_ball,327,94.6,26,99.7,2220,0.191,0.246,5
FS,9/11/2022,83.8,-1.21,"Harris II, Michael",line_drive,380,106,21,84.9,1048,0.774,1.212,6
SL,9/10/2022,85.2,-1.4,"Riley, Austin",ground_ball,14,98.9,-6,85.8,2229,0.26,0.234,2
SI,9/10/2022,93.5,-1.12,"Swanson, Dansby",line_drive,250,100.6,16,94,2395,0.566,0.598,4
FF,9/10/2022,97,-0.48,"Grossman, Robbie",fly_ball,220,75.5,49,97.7,2368,0.086,0.08,3
SL,9/10/2022,88.6,-2.55,"Olson, Matt",ground_ball,4,84.2,-24,89.3,2050,0.077,0.085,2
FS,9/10/2022,85.6,-0.99,"Rosario, Eddie",ground_ball,1,42.2,-63,86.7,1121,0.209,0.188,1
SL,9/10/2022,82.5,-3.7,"Acuña Jr., Ronald",ground_ball,3,51,-30,82.3,2479,0.131,0.135,1
FF,9/10/2022,94.3,-0.87,"Grissom, Vaughn",fly_ball,351,95.4,38,95.1,2230,0.097,0.179,3
FF,9/9/2022,91.3,2.13,"Acuña Jr., Ronald",fly_ball,212,78.3,58,90.7,2420,0.051,0.053,3
FF,9/9/2022,89.8,2.27,"Harris II, Michael",ground_ball,40,93.1,-1,89.7,2426,0.3,0.27,2
SL,9/9/2022,80.4,2.44,"d'Arnaud, Travis",ground_ball,51,95,0,80.5,2296,0.369,0.346,2
FF,9/9/2022,89,-3.92,"Olson, Matt",ground_ball,41,99.7,-2,89,2409,0.351,0.326,2
SL,9/9/2022,81.1,-4.1,"Riley, Austin",ground_ball,1,61.8,-38,80.6,2615,0.103,0.093,2
SL,9/9/2022,81,-4.06,"Swanson, Dansby",fly_ball,314,94.8,41,80.7,2586,0.023,0.029,3
CH,9/7/2022,89.2,-2.11,"Olson, Matt",ground_ball,4,101.5,-15,90.2,1738,0.2,0.18,2
FF,9/7/2022,94.3,-1.38,"Swanson, Dansby",line_drive,208,93.9,12,95,2357,0.874,0.839,4
CH,9/7/2022,85.7,-1.95,"Acuña Jr., Ronald",ground_ball,18,100.1,-4,86.1,1820,0.326,0.309,2
SL,9/7/2022,85.6,-1.6,"Heredia, Guillermo",popup,108,92.5,70,85.9,2552,0.017,0.019,3
CH,9/7/2022,86.6,-2.06,"Harris II, Michael",ground_ball,30,112.8,-3,86.8,1704,0.471,0.424,4
CH,9/7/2022,85.5,-1.04,"Grissom, Vaughn",line_drive,214,103.5,11,87.1,1085,0.897,0.916,4
FF,9/7/2022,93.8,-1.73,"d'Arnaud, Travis",fly_ball,298,93.2,41,93.6,2382,0.006,0.005,3
SL,9/7/2022,86.3,-1.47,"Olson, Matt",fly_ball,314,101.9,45,86.6,2689,0.063,0.108,3
SI,9/7/2022,94.2,2.55,"Grossman, Robbie",line_drive,332,97,21,93.8,2445,0.254,0.311,4
SL,9/7/2022,83.3,2.65,"Ozuna, Marcell",line_drive,168,100.4,9,83.8,2858,0.703,0.647,4
SL,9/7/2022,85.7,-1.63,"Acuña Jr., Ronald",ground_ball,52,103.8,0,85.6,2658,0.457,0.426,4
SI,9/7/2022,93.3,2.63,"Harris II, Michael",ground_ball,7,97.7,-25,92.6,2364,0.094,0.085,2
SL,9/6/2022,83,1.91,"Ozuna, Marcell",popup,212,64.3,38,80.4,3262,0.554,0.499,4
FF,9/6/2022,90.8,-0.57,"Riley, Austin",ground_ball,1,58.9,-67,89.8,2305,0.226,0.203,1
SI,9/6/2022,93.4,1.82,"Grissom, Vaughn",ground_ball,60,72.1,4,90.7,2486,0.169,0.161,2
SL,9/6/2022,88.4,-0.74,"Swanson, Dansby",ground_ball,37,82.7,0,88,2662,0.197,0.177,2
CU,9/6/2022,81.9,-0.58,"Acuña Jr., Ronald",ground_ball,15,92.5,-5,81,3015,0.189,0.17,2
SL,9/6/2022,82,2.65,"Harris II, Michael",ground_ball,0,49.9,-78,82.3,2694,0.16,0.144,1
